"SECONDS";"PID";"VALUE";"UNITS";
"36100.9006567";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.895";"V";
"36100.9006567";"Motordrehzahl";"1317";"rpm";
"36100.9006567";"Motordrehzahl x1000";"1.3";"rpm";
"36100.9006567";"Zündzeitpunkt";"5";"°";
"36101.0984097";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36101.0984097";"Eingangsspannung Steuergerät";"14.14";"V";
"36101.0984097";"Gaspedalstellung D";"12.549019607843137";"%";
"36101.0984097";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"0";"%";
"36101.0984097";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.895";"V";
"36101.0984097";"Motordrehzahl";"1317";"rpm";
"36101.0984097";"Motordrehzahl x1000";"1.3";"rpm";
"36101.0984097";"Zündzeitpunkt";"5";"°";
"36101.2737733";"Abs. Drosselklappenstellung";"14.117647058823529";"%";
"36101.2737733";"Eingangsspannung Steuergerät";"14.14";"V";
"36101.2737733";"Gaspedalstellung D";"12.549019607843137";"%";
"36101.2737733";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"0";"%";
"36101.2737733";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.895";"V";
"36101.2737733";"Motordrehzahl";"1334";"rpm";
"36101.2737733";"Motordrehzahl x1000";"1.3";"rpm";
"36101.2737733";"Zündzeitpunkt";"5";"°";
"36101.4584595";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36101.4584595";"Eingangsspannung Steuergerät";"14.14";"V";
"36101.4584595";"Gaspedalstellung D";"12.549019607843137";"%";
"36101.4584595";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"0";"%";
"36101.4584595";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.895";"V";
"36101.4584595";"Motordrehzahl";"1337";"rpm";
"36101.4584595";"Motordrehzahl x1000";"1.3";"rpm";
"36101.4584595";"Zündzeitpunkt";"5";"°";
"36101.6506536";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36101.6506536";"Eingangsspannung Steuergerät";"14.062";"V";
"36101.6506536";"Gaspedalstellung D";"12.549019607843137";"%";
"36101.6506536";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"0";"%";
"36101.6506536";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.895";"V";
"36101.6506536";"Motordrehzahl";"1333";"rpm";
"36101.6506536";"Motordrehzahl x1000";"1.3";"rpm";
"36101.6506536";"Zündzeitpunkt";"5";"°";
"36102.0725734";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36102.0725734";"Eingangsspannung Steuergerät";"14.218";"V";
"36102.0725734";"Gaspedalstellung D";"12.549019607843137";"%";
"36102.0725734";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-0.78125";"%";
"36102.0725734";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.915";"V";
"36102.0725734";"Motordrehzahl";"1316";"rpm";
"36102.0725734";"Motordrehzahl x1000";"1.3";"rpm";
"36102.0725734";"Zündzeitpunkt";"5";"°";
"36102.2297123";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36102.2297123";"Eingangsspannung Steuergerät";"14.14";"V";
"36102.2297123";"Gaspedalstellung D";"12.549019607843137";"%";
"36102.2297123";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-0.78125";"%";
"36102.2297123";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.915";"V";
"36102.2297123";"Motordrehzahl";"1350";"rpm";
"36102.2297123";"Motordrehzahl x1000";"1.4";"rpm";
"36102.2297123";"Zündzeitpunkt";"5";"°";
"36102.4246545";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36102.4246545";"Eingangsspannung Steuergerät";"14.218";"V";
"36102.4246545";"Gaspedalstellung D";"12.549019607843137";"%";
"36102.4246545";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-1.5625";"%";
"36102.4246545";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.915";"V";
"36102.4246545";"Motordrehzahl";"1340";"rpm";
"36102.4246545";"Motordrehzahl x1000";"1.3";"rpm";
"36102.4246545";"Zündzeitpunkt";"5";"°";
"36102.6142738";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36102.6142738";"Eingangsspannung Steuergerät";"14.218";"V";
"36102.6142738";"Gaspedalstellung D";"12.549019607843137";"%";
"36102.6142738";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-1.5625";"%";
"36102.6142738";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.915";"V";
"36102.6142738";"Motordrehzahl";"1373";"rpm";
"36102.6142738";"Motordrehzahl x1000";"1.4";"rpm";
"36102.6142738";"Zündzeitpunkt";"5";"°";
"36102.7738364";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36102.7738364";"Eingangsspannung Steuergerät";"14.14";"V";
"36102.7738364";"Gaspedalstellung D";"12.549019607843137";"%";
"36102.7738364";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-1.5625";"%";
"36102.7738364";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.915";"V";
"36102.7738364";"Motordrehzahl";"1392";"rpm";
"36102.7738364";"Motordrehzahl x1000";"1.4";"rpm";
"36102.7738364";"Zündzeitpunkt";"5";"°";
"36102.9373051";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36102.9373051";"Eingangsspannung Steuergerät";"14.14";"V";
"36102.9373051";"Gaspedalstellung D";"12.549019607843137";"%";
"36102.9373051";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-2.34375";"%";
"36102.9373051";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.915";"V";
"36102.9373051";"Motordrehzahl";"1391";"rpm";
"36102.9373051";"Motordrehzahl x1000";"1.4";"rpm";
"36102.9373051";"Zündzeitpunkt";"5";"°";
"36103.344457";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36103.344457";"Eingangsspannung Steuergerät";"14.296";"V";
"36103.344457";"Gaspedalstellung D";"12.549019607843137";"%";
"36103.344457";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-2.34375";"%";
"36103.344457";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.915";"V";
"36103.344457";"Motordrehzahl";"1400";"rpm";
"36103.344457";"Motordrehzahl x1000";"1.4";"rpm";
"36103.344457";"Zündzeitpunkt";"5";"°";
"36103.5860642";"Abs. Drosselklappenstellung";"14.117647058823529";"%";
"36103.5860642";"Eingangsspannung Steuergerät";"14.296";"V";
"36103.5860642";"Gaspedalstellung D";"12.549019607843137";"%";
"36103.5860642";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-3.125";"%";
"36103.5860642";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.915";"V";
"36103.5860642";"Motordrehzahl";"1373";"rpm";
"36103.5860642";"Motordrehzahl x1000";"1.4";"rpm";
"36103.5860642";"Zündzeitpunkt";"5";"°";
"36103.7667775";"Abs. Drosselklappenstellung";"16.470588235294116";"%";
"36103.7667775";"Eingangsspannung Steuergerät";"14.296";"V";
"36103.7667775";"Gaspedalstellung D";"15.686274509803921";"%";
"36103.7667775";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-3.125";"%";
"36103.7667775";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.915";"V";
"36103.7667775";"Motordrehzahl";"1348";"rpm";
"36103.7667775";"Motordrehzahl x1000";"1.3";"rpm";
"36103.7667775";"Zündzeitpunkt";"5";"°";
"36103.9340254";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36103.9340254";"Eingangsspannung Steuergerät";"14.218";"V";
"36103.9340254";"Gaspedalstellung D";"12.549019607843137";"%";
"36103.9340254";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-3.125";"%";
"36103.9340254";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36103.9340254";"Motordrehzahl";"1746";"rpm";
"36103.9340254";"Motordrehzahl x1000";"1.7";"rpm";
"36103.9340254";"Zündzeitpunkt";"5";"°";
"36104.125259";"Abs. Drosselklappenstellung";"14.117647058823529";"%";
"36104.125259";"Eingangsspannung Steuergerät";"14.296";"V";
"36104.125259";"Gaspedalstellung D";"12.549019607843137";"%";
"36104.125259";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-3.125";"%";
"36104.125259";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.9550000000000001";"V";
"36104.125259";"Motordrehzahl";"1476";"rpm";
"36104.125259";"Motordrehzahl x1000";"1.5";"rpm";
"36104.125259";"Zündzeitpunkt";"5";"°";
"36104.2816128";"Abs. Drosselklappenstellung";"14.117647058823529";"%";
"36104.2816128";"Eingangsspannung Steuergerät";"14.218";"V";
"36104.2816128";"Gaspedalstellung D";"12.549019607843137";"%";
"36104.2816128";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-3.90625";"%";
"36104.2816128";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.9550000000000001";"V";
"36104.2816128";"Motordrehzahl";"1405";"rpm";
"36104.2816128";"Motordrehzahl x1000";"1.4";"rpm";
"36104.2816128";"Zündzeitpunkt";"5";"°";
"36104.5696118";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36104.5696118";"Eingangsspannung Steuergerät";"14.296";"V";
"36104.5696118";"Gaspedalstellung D";"12.549019607843137";"%";
"36104.5696118";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-3.90625";"%";
"36104.5696118";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.9550000000000001";"V";
"36104.5696118";"Motordrehzahl";"1355";"rpm";
"36104.5696118";"Motordrehzahl x1000";"1.4";"rpm";
"36104.5696118";"Zündzeitpunkt";"5";"°";
"36105.0289066";"Abs. Drosselklappenstellung";"14.117647058823529";"%";
"36105.0289066";"Eingangsspannung Steuergerät";"14.218";"V";
"36105.0289066";"Gaspedalstellung D";"12.549019607843137";"%";
"36105.0289066";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-3.90625";"%";
"36105.0289066";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36105.0289066";"Motordrehzahl";"1336";"rpm";
"36105.0289066";"Motordrehzahl x1000";"1.3";"rpm";
"36105.0289066";"Zündzeitpunkt";"5";"°";
"36105.5345458";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36105.5345458";"Eingangsspannung Steuergerät";"14.296";"V";
"36105.5345458";"Gaspedalstellung D";"12.549019607843137";"%";
"36105.5345458";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-4.6875";"%";
"36105.5345458";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36105.5345458";"Motordrehzahl";"1292";"rpm";
"36105.5345458";"Motordrehzahl x1000";"1.3";"rpm";
"36105.5345458";"Zündzeitpunkt";"5";"°";
"36106.0323057";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36106.0323057";"Eingangsspannung Steuergerät";"14.218";"V";
"36106.0323057";"Gaspedalstellung D";"12.549019607843137";"%";
"36106.0323057";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-5.46875";"%";
"36106.0323057";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36106.0323057";"Motordrehzahl";"1287";"rpm";
"36106.0323057";"Motordrehzahl x1000";"1.3";"rpm";
"36106.0323057";"Zündzeitpunkt";"5";"°";
"36106.2053096";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36106.2053096";"Eingangsspannung Steuergerät";"14.14";"V";
"36106.2053096";"Gaspedalstellung D";"12.549019607843137";"%";
"36106.2053096";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-6.25";"%";
"36106.2053096";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.915";"V";
"36106.2053096";"Motordrehzahl";"1301";"rpm";
"36106.2053096";"Motordrehzahl x1000";"1.3";"rpm";
"36106.2053096";"Zündzeitpunkt";"5";"°";
"36106.445815";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36106.445815";"Eingangsspannung Steuergerät";"14.296";"V";
"36106.445815";"Gaspedalstellung D";"12.549019607843137";"%";
"36106.445815";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-6.25";"%";
"36106.445815";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36106.445815";"Motordrehzahl";"1340";"rpm";
"36106.445815";"Motordrehzahl x1000";"1.3";"rpm";
"36106.445815";"Zündzeitpunkt";"5";"°";
"36106.597192";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36106.597192";"Eingangsspannung Steuergerät";"14.296";"V";
"36106.597192";"Gaspedalstellung D";"12.549019607843137";"%";
"36106.597192";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-6.25";"%";
"36106.597192";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36106.597192";"Motordrehzahl";"1329";"rpm";
"36106.597192";"Motordrehzahl x1000";"1.3";"rpm";
"36106.597192";"Zündzeitpunkt";"5";"°";
"36106.7855236";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36106.7855236";"Eingangsspannung Steuergerät";"14.218";"V";
"36106.7855236";"Gaspedalstellung D";"12.549019607843137";"%";
"36106.7855236";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-7.03125";"%";
"36106.7855236";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36106.7855236";"Motordrehzahl";"1322";"rpm";
"36106.7855236";"Motordrehzahl x1000";"1.3";"rpm";
"36106.7855236";"Zündzeitpunkt";"5";"°";
"36107.1300305";"Abs. Drosselklappenstellung";"14.117647058823529";"%";
"36107.1300305";"Eingangsspannung Steuergerät";"14.14";"V";
"36107.1300305";"Gaspedalstellung D";"12.549019607843137";"%";
"36107.1300305";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-7.03125";"%";
"36107.1300305";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36107.1300305";"Motordrehzahl";"1299";"rpm";
"36107.1300305";"Motordrehzahl x1000";"1.3";"rpm";
"36107.1300305";"Zündzeitpunkt";"5";"°";
"36107.3279956";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36107.3279956";"Eingangsspannung Steuergerät";"14.218";"V";
"36107.3279956";"Gaspedalstellung D";"12.549019607843137";"%";
"36107.3279956";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-7.03125";"%";
"36107.3279956";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36107.3279956";"Motordrehzahl";"1274";"rpm";
"36107.3279956";"Motordrehzahl x1000";"1.3";"rpm";
"36107.3279956";"Zündzeitpunkt";"5";"°";
"36107.5020104";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36107.5020104";"Eingangsspannung Steuergerät";"14.062";"V";
"36107.5020104";"Gaspedalstellung D";"12.549019607843137";"%";
"36107.5020104";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-7.8125";"%";
"36107.5020104";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36107.5020104";"Motordrehzahl";"1316";"rpm";
"36107.5020104";"Motordrehzahl x1000";"1.3";"rpm";
"36107.5020104";"Zündzeitpunkt";"5";"°";
"36107.6572754";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36107.6572754";"Eingangsspannung Steuergerät";"14.218";"V";
"36107.6572754";"Gaspedalstellung D";"12.549019607843137";"%";
"36107.6572754";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-7.8125";"%";
"36107.6572754";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.915";"V";
"36107.6572754";"Motordrehzahl";"1320";"rpm";
"36107.6572754";"Motordrehzahl x1000";"1.3";"rpm";
"36107.6572754";"Zündzeitpunkt";"5";"°";
"36107.9293867";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36107.9293867";"Eingangsspannung Steuergerät";"14.296";"V";
"36107.9293867";"Gaspedalstellung D";"13.333333333333334";"%";
"36107.9293867";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-7.8125";"%";
"36107.9293867";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.915";"V";
"36107.9293867";"Motordrehzahl";"1315";"rpm";
"36107.9293867";"Motordrehzahl x1000";"1.3";"rpm";
"36107.9293867";"Zündzeitpunkt";"5";"°";
"36108.102452";"Abs. Drosselklappenstellung";"15.686274509803921";"%";
"36108.102452";"Eingangsspannung Steuergerät";"14.218";"V";
"36108.102452";"Gaspedalstellung D";"15.686274509803921";"%";
"36108.102452";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-8.59375";"%";
"36108.102452";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.915";"V";
"36108.102452";"Motordrehzahl";"1542";"rpm";
"36108.102452";"Motordrehzahl x1000";"1.5";"rpm";
"36108.102452";"Zündzeitpunkt";"5";"°";
"36108.3789643";"Abs. Drosselklappenstellung";"16.07843137254902";"%";
"36108.3789643";"Eingangsspannung Steuergerät";"14.218";"V";
"36108.3789643";"Gaspedalstellung D";"16.862745098039216";"%";
"36108.3789643";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-8.59375";"%";
"36108.3789643";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36108.3789643";"Motordrehzahl";"2306";"rpm";
"36108.3789643";"Motordrehzahl x1000";"2.3";"rpm";
"36108.3789643";"Zündzeitpunkt";"18";"°";
"36108.5644637";"Abs. Drosselklappenstellung";"16.470588235294116";"%";
"36108.5644637";"Eingangsspannung Steuergerät";"14.218";"V";
"36108.5644637";"Gaspedalstellung D";"17.254901960784313";"%";
"36108.5644637";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-8.59375";"%";
"36108.5644637";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36108.5644637";"Motordrehzahl";"2398";"rpm";
"36108.5644637";"Motordrehzahl x1000";"2.4";"rpm";
"36108.5644637";"Zündzeitpunkt";"20";"°";
"36108.7450062";"Abs. Drosselklappenstellung";"16.470588235294116";"%";
"36108.7450062";"Eingangsspannung Steuergerät";"14.296";"V";
"36108.7450062";"Gaspedalstellung D";"17.254901960784313";"%";
"36108.7450062";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-9.375";"%";
"36108.7450062";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36108.7450062";"Motordrehzahl";"2117";"rpm";
"36108.7450062";"Motordrehzahl x1000";"2.1";"rpm";
"36108.7450062";"Zündzeitpunkt";"17";"°";
"36108.9305827";"Abs. Drosselklappenstellung";"16.470588235294116";"%";
"36108.9305827";"Eingangsspannung Steuergerät";"14.296";"V";
"36108.9305827";"Gaspedalstellung D";"17.647058823529413";"%";
"36108.9305827";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-9.375";"%";
"36108.9305827";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.915";"V";
"36108.9305827";"Motordrehzahl";"1746";"rpm";
"36108.9305827";"Motordrehzahl x1000";"1.7";"rpm";
"36108.9305827";"Zündzeitpunkt";"11";"°";
"36109.2387591";"Abs. Drosselklappenstellung";"17.254901960784313";"%";
"36109.2387591";"Eingangsspannung Steuergerät";"14.14";"V";
"36109.2387591";"Gaspedalstellung D";"19.215686274509803";"%";
"36109.2387591";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-9.375";"%";
"36109.2387591";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.915";"V";
"36109.2387591";"Motordrehzahl";"1452";"rpm";
"36109.2387591";"Motordrehzahl x1000";"1.5";"rpm";
"36109.2387591";"Zündzeitpunkt";"5";"°";
"36109.4015655";"Abs. Drosselklappenstellung";"17.254901960784313";"%";
"36109.4015655";"Eingangsspannung Steuergerät";"14.375";"V";
"36109.4015655";"Gaspedalstellung D";"19.607843137254903";"%";
"36109.4015655";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-10.15625";"%";
"36109.4015655";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36109.4015655";"Motordrehzahl";"1472";"rpm";
"36109.4015655";"Motordrehzahl x1000";"1.5";"rpm";
"36109.4015655";"Zündzeitpunkt";"5";"°";
"36109.6499945";"Abs. Drosselklappenstellung";"17.254901960784313";"%";
"36109.6499945";"Eingangsspannung Steuergerät";"14.375";"V";
"36109.6499945";"Gaspedalstellung D";"20";"%";
"36109.6499945";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-10.15625";"%";
"36109.6499945";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36109.6499945";"Motordrehzahl";"1492";"rpm";
"36109.6499945";"Motordrehzahl x1000";"1.5";"rpm";
"36109.6499945";"Zündzeitpunkt";"5";"°";
"36109.8054633";"Abs. Drosselklappenstellung";"17.254901960784313";"%";
"36109.8054633";"Eingangsspannung Steuergerät";"14.296";"V";
"36109.8054633";"Gaspedalstellung D";"21.568627450980394";"%";
"36109.8054633";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-10.15625";"%";
"36109.8054633";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36109.8054633";"Motordrehzahl";"1527";"rpm";
"36109.8054633";"Motordrehzahl x1000";"1.5";"rpm";
"36109.8054633";"Zündzeitpunkt";"5";"°";
"36109.9726961";"Abs. Drosselklappenstellung";"18.03921568627451";"%";
"36109.9726961";"Eingangsspannung Steuergerät";"14.218";"V";
"36109.9726961";"Gaspedalstellung D";"23.137254901960784";"%";
"36109.9726961";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-10.9375";"%";
"36109.9726961";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36109.9726961";"Motordrehzahl";"1571";"rpm";
"36109.9726961";"Motordrehzahl x1000";"1.6";"rpm";
"36109.9726961";"Zündzeitpunkt";"5";"°";
"36110.1443175";"Abs. Drosselklappenstellung";"18.03921568627451";"%";
"36110.1443175";"Eingangsspannung Steuergerät";"14.14";"V";
"36110.1443175";"Gaspedalstellung D";"24.313725490196077";"%";
"36110.1443175";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-10.9375";"%";
"36110.1443175";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36110.1443175";"Motordrehzahl";"1657";"rpm";
"36110.1443175";"Motordrehzahl x1000";"1.7";"rpm";
"36110.1443175";"Zündzeitpunkt";"6";"°";
"36110.3260611";"Abs. Drosselklappenstellung";"18.431372549019606";"%";
"36110.3260611";"Eingangsspannung Steuergerät";"14.218";"V";
"36110.3260611";"Gaspedalstellung D";"25.098039215686274";"%";
"36110.3260611";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-10.9375";"%";
"36110.3260611";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36110.3260611";"Motordrehzahl";"1812";"rpm";
"36110.3260611";"Motordrehzahl x1000";"1.8";"rpm";
"36110.3260611";"Zündzeitpunkt";"13";"°";
"36110.5575146";"Abs. Drosselklappenstellung";"18.823529411764707";"%";
"36110.5575146";"Eingangsspannung Steuergerät";"14.296";"V";
"36110.5575146";"Gaspedalstellung D";"25.098039215686274";"%";
"36110.5575146";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"-10.9375";"%";
"36110.5575146";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.935";"V";
"36110.5575146";"Motordrehzahl";"1985";"rpm";
"36110.5575146";"Motordrehzahl x1000";"2";"rpm";
